time,core_T_out,core_delta_p,core_heating:power_shape_fn:integral,core_p_in,core_p_out,hx_pri_T_out,m_dot_pump,power_to_coolant,pump_head,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,pump:T,pump:p,pump:rhoEV,pump:rhoV,pump:rhouV,pump:rhovV,pump:rhowV,pump:vel,total_power:power
0,0,0,0.00031415926535898,0,0,0,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,300,1000000,14.925373134328,1.6036319441142e-05,0,0,0,0,300,1000000,149.25373134328,0.00016036319441142,0,0,0,0,2000
1,300.01135143854,0.14379787188955,0.00031415926535898,1000000.3013321,1000000.1575342,299.99997060125,0.00094236420984827,0.68330257560257,0.05,14.925453163712,1.6036370865252e-05,0,0,1.2493976295569e-06,14.925300014006,1.6035676749756e-05,0,0,1.2499321145522e-06,300.00000065056,999999.99997917,14.925373178925,1.6036319406033e-05,1.2001311645753e-06,0,5.2874023513683e-10,0.074838324846346,300.00000546003,1000000.0382365,149.25373750198,0.00016036319762451,-1.2037040661725e-05,1.4741123804961e-21,7.3705619024805e-22,0.07506111651571,2000
3,300.18209457585,0.37047120870557,0.00031415926535898,1000000.9841025,1000000.6136313,300.00220274362,0.0050918301605497,7.7570123292854,0.12151872211137,14.925797126208,1.6036576909814e-05,0,0,6.7508578465893e-06,14.924975720791,1.602635342894e-05,0,0,6.7533959230714e-06,300.05324606439,1000000.0000593,14.925374446788,1.6033473710847e-05,6.4852271087037e-06,0,5.4129188530839e-09,0.40448061877397,300.00092767548,1000000.3561583,149.25379764412,0.00016036275564412,-6.4924995357763e-05,7.9510188822295e-21,3.9755094411148e-21,0.40486330567832,2000
7,300.62408791336,0.7135163169587,0.00031415926535898,1000002.2725184,1000001.5590021,300.19769905819,0.011590422502141,34.228630913814,0.19589997359187,14.926343571724,1.6030383195504e-05,0,0,1.5370549696982e-05,14.924474688941,1.6002465032244e-05,0,0,1.5374113676873e-05,300.49965754658,1000000.0001091,14.925379939004,1.6009654959828e-05,1.4759016378812e-05,0,1.8583214707295e-08,0.92188295843916,300.16093208099,1000001.3017213,149.25399372407,0.00016027742389506,-0.0001477425811763,1.8093247409045e-20,9.0466237045227e-21,0.92179283635752,2000
12,301.34235484957,0.65799942100421,0.00031415926535898,1000002.7359445,1000002.0779451,300.65272732167,0.013088854298058,63.157914082068,0.15759293120746,14.926473346924,1.6009847282948e-05,0,0,1.7361617681307e-05,14.924362681529,1.5964253686374e-05,0,0,1.736733559414e-05,301.20523185103,1000000.0001046,14.925381833434,1.5972152287266e-05,1.6668415907794e-05,0,2.985844026698e-08,1.0435940223315,300.58768238829,1000001.9658429,149.2541116798,0.00016004998114305,-0.00016680938817132,2.0428258759705e-20,1.0214129379853e-20,1.04223310106,2000
17,302.16604756343,0.4353019654518,0.00031415926535898,1000002.61748,1000002.1821781,301.14609329807,0.01131890021558,78.452172798384,0.094317413450389,14.926327551355,1.5985763948232e-05,0,0,1.5015971387541e-05,14.92450206588,1.5920829919151e-05,0,0,1.502255862702e-05,301.9877710154,1000000.0000775,14.925379657768,1.5930763740992e-05,1.4415570440272e-05,0,3.5249418993544e-08,0.90489155266445,301.06346109627,1000002.1359485,149.25411522977,0.00015979707702324,-0.00014422832104262,1.7662875403469e-20,8.8314377017347e-21,0.90257170987955,2000
22,303.03622202729,0.3136806486873,0.00031415926535898,1000002.5789664,1000002.2652857,301.65652782669,0.0097227925239474,88.959861547646,0.069709363221265,14.926197352733,1.5960657259431e-05,0,0,1.2900164071977e-05,14.924628199775,1.5875197693766e-05,0,0,1.2907054320744e-05,302.81717281185,1000000.0000723,14.925377961722,1.5887130138685e-05,1.2383501320815e-05,0,3.818075355812e-08,0.77947118654751,301.55701149656,1000002.1971518,149.25410737952,0.00015953555112964,-0.00012388832248509,1.5171943870658e-20,7.5859719353292e-21,0.77655620711409,2000
27,303.94975665853,0.31877638120204,0.00031415926535898,1000002.8192519,1000002.5004755,302.23155680018,0.0093868652507128,105.12685392962,0.07684962043395,14.926174112986,1.5932271652011e-05,0,0,1.2456012548873e-05,14.92465691002,1.5827505215952e-05,0,0,1.2463394231034e-05,303.70928184009,1000000.0000872,14.925377647799,1.5840463628949e-05,1.1956082944657e-05,0,4.2115827184102e-08,0.75478580690037,302.1153726883,1000002.3835052,149.25413202012,0.0001592407316559,-0.00011962151184784,1.4649410840207e-20,7.3247054201035e-21,0.75119921017652,2000
32,304.9216957473,0.37219178827945,0.00031415926535898,1000003.1565342,1000002.7843425,302.88786763197,0.0097129551453865,126.74551290445,0.089448242692929,14.926206369728,1.5899308875947e-05,0,0,1.2889965103308e-05,14.924633602942,1.5777042143301e-05,0,0,1.2898045191976e-05,304.67329799708,1000000.0001002,14.925377982565,1.5790342850691e-05,1.2371792013616e-05,0,4.6554995160754e-08,0.78350924507494,302.75927594326,1000002.6390106,149.25417344319,0.00015890210178893,-0.00012378931559106,1.5159819593875e-20,7.5799097969374e-21,0.77902881206376,2000
37,305.95248737923,0.40287605545018,0.00031415926535898,1000003.3944023,1000002.9915262,303.59941741233,0.010016210377105,148.65021546793,0.094863049890526,14.926235398738,1.5862952038308e-05,0,0,1.3293154639214e-05,14.924610857523,1.5723874432448e-05,0,0,1.3301827865553e-05,305.69766653464,1000000.0001027,14.925378307559,1.5737430669238e-05,1.2758369851813e-05,0,4.9831860197126e-08,0.81070839558639,303.4638807251,1000002.8328576,149.25420555641,0.00015853318192037,-0.00012765874986633,1.5633689438941e-20,7.8168447194703e-21,0.80524940154456,2000
42,307.02360330778,0.40621506562456,0.00031415926535898,1000003.5077707,1000003.1015556,304.33716561936,0.010086429826684,168.01708884997,0.0942355871167,14.926243593591,1.5824992434477e-05,0,0,1.3386760964915e-05,14.924605205131,1.5669015901606e-05,0,0,1.3395756713597e-05,306.76162305152,1000000.0000998,14.925378398703,1.5682847759659e-05,1.2848009786792e-05,0,5.1582615538414e-08,0.81924619374432,304.19763977048,1000002.9338239,149.25422147547,0.00015815079795798,-0.00012855401359939,1.5743328209948e-20,7.8716641049738e-21,0.81285719237122,2000
